date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:13	105736/105736	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.svg	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/fonts/sourcesanspro-semibold-webfont.svg	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:13	1054/1054	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/icon_strength_check_grey.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/icon_strength_check_grey.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:13	203/203	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/icon-x-off.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/icon-x-off.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:14	199/199	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/icon-x-on.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/icon-x-on.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:17	282/282	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Fri,%2011%20Jan%202019%2022:57:11%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/icon-x-off.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/icon-x-off.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:18	1051/1051	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Oct%202018%2018:10:32%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/icon_strength_check_green.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/icon_strength_check_green.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:18	4797/4797	---M--	200	added ('OK')	text/plain	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/bg_globe.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/bg_globe.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:18	188/188	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Oct%202018%2018:10:32%20GMT	https://my.navyfederal.org/NFOAA_Auth/resources/images/css/bg_footer.png	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/resources/images/css/bg_footer.png	(from https://my.navyfederal.org/NFOAA_Auth/resources/css/main-81c4011762afac3569f942d4fb8bf43f.css)
17:57:19	190836/190836	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/util/util.js.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/util/util.js7d01.js	(from https://my.navyfederal.org/NFOAA_Auth/findmyusername.xhtml)
17:57:20	37050/37050	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2020%20Sep%202018%2014:30:34%20GMT	https://my.navyfederal.org/NFOAA_Auth/javax.faces.resource/util/ajaxUtil.js.xhtml?ln=openfaces&ofver=3.1.EA1.938	C:/My%20Web%20Sites/Navy%20Union/my.navyfederal.org/NFOAA_Auth/javax.faces.resource/util/ajaxUtil.js7d01.js	(from https://my.navyfederal.org/NFOAA_Auth/findmyusername.xhtml)
